金額,売上額,伝№,請№,売上先
3300,,,,(1001306)飴野応用（大商海運）
3300,,,,(1003046)ｱﾘｽﾀﾍﾙｽｱﾝﾄﾞﾆｭｰﾄﾘｼｮﾝｻｲｴﾝｽ(大商海
3300,,,,(1200024)泉産業貿易㈱
3300,,,,(1300228)(株)ウチダ(大商海運)
3300,,,,(1400399)エムオー貿易（大商海運）
3300,,,,(1401916)M-OEXIMサービス（大商海運）
3300,,,,(1603013)㈱ｶﾝﾀﾞﾏｼﾅﾘｰ（大商海運株㈱）　
3300,,,,(1800027)株式会社　久原製作所
3300,,,,(2001634)神戸ﾙﾌﾞﾘｶﾝｽ（大商海運）
3300,,,,(2100197)（株）サンコートレーディング
3300,,,,(2800096)大商海運　株式会社
3300,,,,(2801135)（株）タカオカメガ(大商海運㈱
3300,,,,(2803201)タカラ産業㈱（大商海運㈱）
3300,,,,(2804875)ダイキ化成㈱（大商海運㈱大阪)
3300,,,,(2805217)㈱ﾀﾞﾝﾄｰﾀｲﾙ(大商海運㈱大阪)
3300,42140,8303693,0,(3000019)ＣＢＣ株式会社
3300,16041,8303719,0,(3000019)ＣＢＣ株式会社
3300,71952,8312092,0,(3000019)ＣＢＣ株式会社
3300,27015,8311441,0,(3000019)ＣＢＣ株式会社
3300,41144,8314687,0,(3000019)ＣＢＣ株式会社
3300,71638,8315762,0,(3000019)ＣＢＣ株式会社
3300,15257,8309221,0,(3000019)ＣＢＣ株式会社
3300,15394,8324694,0,(3000019)ＣＢＣ株式会社
3300,,,,(3000188)ﾁｪｰﾝｽﾞ（大商海運）
3300,3300,8327316,0,(3303593)㈱ｳｪﾙﾏﾃｯｸ(大商海運㈱)
3300,,,,(3303593)㈱鳥谷溶接研究所(大商海運㈱)
3300,,,,(3305077)TOMATEC㈱(大商海運㈱大阪）
3300,,,,(3305362)TOMATEC株式会社
3300,,,,(3500005)日本ペイントマテリアルズ(株)
3300,,,,(3503619)日進医療器㈱（大商海運）
3300,,,,(4102224)東日本ﾀﾞﾝﾄｰﾀｲﾙ㈱(大商海運大
3300,,,,(4501748)まるとみ工業（大商海運）
3300,,,,(4503140)㈱マルサン精密(大商海運　大阪)
3300,,,,(9999999)輸入現金扱い諸口
3300,,,,"(I001085)INTERLINK, INC."
4200,,,,(1005553)㈱旭ｹﾐｶﾙｽ(日本国際商船　大阪)
4200,,,,(1400049)ＳＰＫ　株式会社
4200,,,,(1400049)ＳＰＫ株式会社
4200,,,,(1403871)SPK株式会社(GMC)
4200,,,,(1404467)SPK株式会社(AS CLﾉﾐﾈ)
4200,,,,(1404508)SPK㈱(日本国際商船　大阪)
4200,,,,(1404508)SPK㈱(日本国際商船大阪)
4200,,,,(1503180)オクイ㈱(日本国際商船　大阪)
4200,,,,(2306927)神港精機㈱(日本国際商船　大阪
4200,,,,(2500695)ｽｶｲﾏｳﾝﾄ(日本国際商船）
4200,,,,(3202022)㈱ﾃｸﾉｱｿｼｴ(日本国際商船　大阪)
4200,,,,(3304266)籐栄㈱（日本国際商船　大阪）
4200,16625,8327456,0,(3500076)日本国際商船　株式会社
4200,5951,8327469,0,(3500076)日本国際商船　株式会社
4200,16289,8327383,0,(3500076)日本国際商船　株式会社
4200,4200,8325900,0,(3500076)日本国際商船　株式会社
4200,68340,8323901,0,(3500076)日本国際商船　株式会社
4200,,,,(3500076)日本国際商船株式会社
4200,,,,(3500362)日本コルマー(日本国際商船)
9875,,,,(1801030)㈱CROWN PACKAGE(東陽倉庫㈱)
9875,41386,8280362,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,87336,8280376,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,43348,8288251,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,50532,8286067,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,40589,8290674,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,12572,8293632,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,10721,8296098,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,18900,8295862,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,33045,8297076,274882,(3300605)東陽倉庫㈱　国際輸送課
9875,10721,8295871,274882,(3300605)東陽倉庫㈱　国際輸送課
